X,Y,status,ts
-81.524179,35.91727,Closed,2020-04-01T15:00:00Z
-92.377414,34.824743,Open,2020-04-01T15:00:00Z
-79.856143,34.280854,Open,2020-04-01T15:00:00Z
-89.113637,30.358319,Closed,2020-04-01T15:00:00Z
-97.116601,32.706686,Open,2020-04-01T15:00:00Z
-96.919885,32.80941,Open,2020-04-01T15:00:00Z
-82.0491,33.512783,Open,2020-04-01T15:00:00Z
-84.53423241,39.33963566,Open,2020-04-01T15:00:00Z
-92.128413,34.868706,Open,2020-04-01T15:00:00Z
-96.62427,32.768343,Open,2020-04-01T15:00:00Z
-88.9532,30.393385,Closed,2020-04-01T15:00:00Z
-80.03945,32.79142,Open,2020-04-01T15:00:00Z
-89.33646,31.349147,Open,2020-04-01T15:00:00Z
-95.249496,29.653034,Open,2020-04-01T15:00:00Z
-79.84329264,36.04204765,Open,2020-04-01T15:00:00Z
-84.885188,35.190895,Open,2020-04-01T15:00:00Z
-88.089,30.63512,Open,2020-04-01T15:00:00Z
-95.126758,29.53119,Closed,2020-04-01T15:00:00Z
-80.063365,36.110784,Closed,2020-04-01T15:00:00Z
-86.6018946,36.17257256,Closed,2020-04-01T15:00:00Z
-87.478445,36.837536,Open,2020-04-01T15:00:00Z
-86.421091,36.939011,Open,2020-04-01T15:00:00Z
-87.27663,30.405855,Open,2020-04-01T15:00:00Z
-84.76405,34.204793,Closed,2020-04-01T15:00:00Z
-80.155038,26.186843,Open,2020-04-01T15:00:00Z
-90.012628,38.67765,Closed,2020-04-01T15:00:00Z
-92.439432,35.11065,Open,2020-04-01T15:00:00Z
-85.31797613,35.08402824,Open,2020-04-01T15:00:00Z
-81.107962,34.003666,Open,2020-04-01T15:00:00Z
-112.112866,33.640482,Open,2020-04-01T15:00:00Z
-86.97323832,34.56890903,Open,2020-04-01T15:00:00Z
-94.130878,30.096615,Closed,2020-04-01T15:00:00Z
-94.54915,39.174405,Closed,2020-04-01T15:00:00Z
-86.582426,30.439984,Open,2020-04-01T15:00:00Z
-110.9948429,32.25044571,Open,2020-04-01T15:00:00Z
-84.576589,33.544171,Open,2020-04-01T15:00:00Z
-84.32654,34.02299,Closed,2020-04-01T15:00:00Z
-97.476926,35.464685,Open,2020-04-01T15:00:00Z
-84.008243,35.937906,Open,2020-04-01T15:00:00Z
-84.34351,33.83075,Closed,2020-04-01T15:00:00Z
-88.828974,35.666728,Open,2020-04-01T15:00:00Z
-84.43565229,39.26976282,Open,2020-04-01T15:00:00Z
-85.95804,39.296634,Closed,2020-04-01T15:00:00Z
-84.22771,33.75026,Open,2020-04-01T15:00:00Z
-77.62761,36.429993,Closed,2020-04-01T15:00:00Z
-111.9665807,33.37816459,Open,2020-04-01T15:00:00Z
-81.459197,28.484577,Open,2020-04-01T15:00:00Z
-84.60698,33.77964,Open,2020-04-01T15:00:00Z
-97.08511,32.83716,Open,2020-04-01T15:00:00Z
-82.318,34.775839,Closed,2020-04-01T15:00:00Z
-83.66344,32.87427,Open,2020-04-01T15:00:00Z
-88.126032,30.70421,Open,2020-04-01T15:00:00Z
-86.62576,34.734674,Open,2020-04-01T15:00:00Z
-79.795922,34.227265,Open,2020-04-01T15:00:00Z
-88.126713,30.64916,Open,2020-04-01T15:00:00Z
-80.95093,33.97152,Open,2020-04-01T15:00:00Z
-89.09256,30.42727,Open,2020-04-01T15:00:00Z
-80.02683,32.901371,Open,2020-04-01T15:00:00Z
-86.702433,33.533234,Open,2020-04-01T15:00:00Z
-97.21757,32.83159,Closed,2020-04-01T15:00:00Z
-85.83374,38.202281,Open,2020-04-01T15:00:00Z
-84.41219,33.57632,Open,2020-04-01T15:00:00Z
-96.594581,32.839767,Open,2020-04-01T15:00:00Z
-90.3446,38.730259,Open,2020-04-01T15:00:00Z
-97.46698,32.73853,Open,2020-04-01T15:00:00Z
